index,dropout_after_sequential,lstm_1_nodes,lstm_1_activation,dropout_after_lstm_1,lstm_2_nodes,lstm_2_activation,dropout_after_lstm_2,epochs,dense_activation,accuracy
0,0.3,250,sigmoid,0.2,250,sigmoid,0.2,1,sigmoid,50.0
1,0.3,250,sigmoid,0.2,250,sigmoid,0.2,8,hard_sigmoid,55.000001192092896
2,0.3,250,sigmoid,0.2,250,sigmoid,0.2,8,tanh,60.000002384185791
3,0.3,250,sigmoid,0.2,250,sigmoid,0.2,8,softmax,50.0
4,0.3,250,sigmoid,0.2,250,sigmoid,0.2,8,linear,55.000001192092896
5,0.3,250,sigmoid,0.2,250,sigmoid,0.5,8,sigmoid,50.0
6,0.3,250,sigmoid,0.2,250,sigmoid,0.5,8,hard_sigmoid,50.0

7,0.3,250,sigmoid,0.2,250,sigmoid,0.5,8,hard_sigmoid,55.000001192092896
8,0.3,250,sigmoid,0.2,250,sigmoid,0.5,8,tanh,60.000002384185791
9,0.3,250,sigmoid,0.2,250,sigmoid,0.5,8,softmax,55.000001192092896
10,0.3,250,sigmoid,0.2,250,sigmoid,0.5,8,linear,50.0
31,0.3,250,sigmoid,0.2,250,tanh,0.2,8,sigmoid,50.0
32,0.3,250,sigmoid,0.2,250,tanh,0.2,8,hard_sigmoid,55.000001192092896
33,0.3,250,sigmoid,0.2,250,tanh,0.2,8,tanh,40.000000596046448
34,0.3,250,sigmoid,0.2,250,tanh,0.2,8,softmax,55.000001192092896
1,0.3,250,sigmoid,0.2,250,sigmoid,0.2,10,sigmoid,50.0
2,0.3,250,sigmoid,0.2,250,sigmoid,0.2,10,hard_sigmoid,55.000001192092896
3,0.3,250,sigmoid,0.2,250,sigmoid,0.2,10,tanh,50.0
4,0.3,250,sigmoid,0.2,250,sigmoid,0.2,10,softmax,60.000002384185791
5,0.3,250,sigmoid,0.2,250,sigmoid,0.2,10,linear,50.0
6,0.3,250,sigmoid,0.2,250,sigmoid,0.5,10,sigmoid,55.000001192092896
35,0.3,250,sigmoid,0.2,250,tanh,0.2,10,linear,50.0
